volt_V1,volt_V2,volt_V3,current_A1,current_A2,current_A3,power_kW,power_factor,motor_temp_C
0.19861779,0.18306442,0.19721271,0.27246332,0.26602614,0.17501028,0.18273655,0.18115631,0.16824302
0.21950683,0.19869357,0.21360497,0.3127828,0.2554245,0.18407387,0.18951097,0.19739333,0.21457209
0.23816422,0.23431267,0.21500084,0.2927897,0.30893308,0.1929815,0.18091121,0.22099705,0.16689391
0.22147241,0.24159838,0.21957445,0.2729227,0.28341547,0.22179526,0.18602662,0.24635796,0.16688973
0.264721,0.22754739,0.20144075,0.2809414,0.3169853,0.18321137,0.17442283,0.20916961,0.1888831
0.21607077,0.22235364,0.20652355,0.2815908,0.30981332,0.18451984,0.18261558,0.21084633,0.18006276
0.21869934,0.24142939,0.21404088,0.26989606,0.2905066,0.1689204,0.18282886,0.1866243,0.1692815
0.201074,0.20357102,0.2198827,0.25087795,0.2875452,0.16918829,0.16886646,0.19171685,0.20923184
0.21570627,0.22463252,0.23333254,0.26549995,0.31865844,0.18254267,0.17065006,0.19200912,0.21742088
0.20983997,0.21285377,0.189772,0.22048634,0.2964287,0.17202444,0.17366043,0.21011955,0.2280652
0.19655903,0.21870929,0.21146095,0.2084676,0.30461144,0.17741494,0.20090847,0.20198591,0.22321723
0.2048354,0.17566757,0.19695072,0.18078488,0.26991114,0.16722593,0.17189221,0.1809428,0.20899326
0.1629379,0.16670357,0.21499881,0.18071686,0.23561186,0.18162303,0.15924434,0.17605418,0.21073504
0.19598693,0.16348813,0.22789419,0.19145897,0.21940874,0.17987545,0.15484434,0.16016053,0.1991395
0.1998608,0.17058517,0.24150948,0.18583977,0.23298326,0.18461704,0.17481709,0.19715922,0.20623188
0.23000589,0.20817558,0.23298885,0.1858154,0.26155865,0.20269632,0.17985678,0.1916148,0.22224803
0.2724663,0.1921864,0.24621584,0.18480524,0.26402006,0.22793306,0.20166433,0.23406374,0.23501472
0.30799794,0.18346578,0.2511712,0.19825146,0.26592174,0.23044418,0.20105591,0.23563187,0.21909232
0.28538,0.17750503,0.23879653,0.20775677,0.24165152,0.23556125,0.20651254,0.22612645,0.19490355
0.30911782,0.19392532,0.25124356,0.2090569,0.25238046,0.24482208,0.20535833,0.2348079,0.22377521
0.2931647,0.1917839,0.26289853,0.19101952,0.25586602,0.24074818,0.19112581,0.25782487,0.22644867
0.2907389,0.1884457,0.25945973,0.18063293,0.2495256,0.23074025,0.2050993,0.24883384,0.21068108
0.30617437,0.1921029,0.22886905,0.20516087,0.24898387,0.2524114,0.21622233,0.2332201,0.22750942
0.3118855,0.1865347,0.2361652,0.18873592,0.22286679,0.24349014,0.22722706,0.22058345,0.21643318
0.26479527,0.20123106,0.21452756,0.1996965,0.21491748,0.20733543,0.1987812,0.20449999,0.21656239
0.22682601,0.183305,0.2040485,0.2469163,0.21477844,0.19449785,0.19391775,0.187927,0.2078933
0.20321853,0.189719,0.22862189,0.21914443,0.28413713,0.20533611,0.18237257,0.1612492,0.18942888
0.18520047,0.17118248,0.17449494,0.21106716,0.19915275,0.18518338,0.17511941,0.15114275,0.19631428
0.17344385,0.17740071,0.16842613,0.19679245,0.1836919,0.17825714,0.17860435,0.15147668,0.20579135
0.19762802,0.18829523,0.17526323,0.19037408,0.18457663,0.17737618,0.17019919,0.14060286,0.21649374
0.18500973,0.19658554,0.1533137,0.20361036,0.20313604,0.17513366,0.19612053,0.13898435,0.22682093
0.19751084,0.20596002,0.15184829,0.1969562,0.2007844,0.15058714,0.18449268,0.1373804,0.22526771
0.16866179,0.18501954,0.14955363,0.19282144,0.2002139,0.15890619,0.15813015,0.18756238,0.18773799
0.17653942,0.2002293,0.12276623,0.20148689,0.19469307,0.1581419,0.1670445,0.13385369,0.20354487
0.17400531,0.21450405,0.16769096,0.18854861,0.20702049,0.15468074,0.1791183,0.13578539,0.19024567
0.20020798,0.22106953,0.14849232,0.15832034,0.18722384,0.16917795,0.17154276,0.15018275,0.20523125
0.17140925,0.21956736,0.15348296,0.14800543,0.19132778,0.17170711,0.17080635,0.15121686,0.22103643
0.18177019,0.30680835,0.15832667,0.16631633,0.20041579,0.16766609,0.18125443,0.14790915,0.22285725
0.19070023,0.292375,0.17659649,0.17634861,0.20024034,0.20687294,0.18486078,0.15682532,0.24696396
0.19137487,0.23606956,0.1761293,0.19004826,0.18744798,0.22745097,0.18858421,0.14915214,0.23574516
0.18963465,0.24513237,0.18391384,0.17626224,0.18871523,0.18474674,0.17391366,0.15925413,0.26362446
0.182197,0.269005,0.16820234,0.19399461,0.20830394,0.18345705,0.16350275,0.17413178,0.2730365
